cortellis_condition,revised_icd9,icd9,icd9_category,icd9_sub_chapter,icd9_chapter
salivary gland disease,,527,Diseases of the salivary glands,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
xerostomia,,527,Diseases of the salivary glands,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
sialorrhea,,527,Diseases of the salivary glands,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
mouth ulcer,,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue","Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
stomatitis,,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue","Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
mucositis,,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue","Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
leukoplakia,,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue","Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
oral mucositis,,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue","Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
glossitis,,529,Diseases and other conditions of the tongue,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
achalasia,,530,Diseases of esophagus,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
gastroesophageal reflux,,530,Diseases of esophagus,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
barretts esophagus,,530,Diseases of esophagus,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
eosinophilic esophagitis,,530,Diseases of esophagus,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
ulcer,,531,Gastric ulcer,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
gastrointestinal ulcer,,531,Gastric ulcer,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
stomach ulcer,,531,Gastric ulcer,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
duodenal ulcer,,532,Duodenal ulcer,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
gastritis,,535,Gastritis and duodenitis,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
hypertrophic gastritis,,535,Gastritis and duodenitis,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
gastrointestinal disease,,536,Disorders of function of stomach,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
gastric motility disorder,,536,Disorders of function of stomach,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
gastrointestinal function disorder,,536,Disorders of function of stomach,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
dyspepsia,,536,Disorders of function of stomach,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
hyperchlorhydria,,536,Disorders of function of stomach,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
gastrointestinal infection,,536,Disorders of function of stomach,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
stomach function disorder,,536,Disorders of function of stomach,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
gastroparesis,,536,Disorders of function of stomach,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
indigestion,,536,Disorders of function of stomach,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
gastrointestinal motility disorder,,536,Disorders of function of stomach,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
stomach disease,,537,Other disorders of stomach and duodenum,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
stomach infection,,537,Other disorders of stomach and duodenum,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of The Digestive System
appendicitis,,540,Acute appendicitis,Appendicitis,Diseases Of The Digestive System
crohns disease,,555,Regional enteritis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
inflammatory bowel disease,,555,Regional enteritis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
enteritis,,555,Regional enteritis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
coris disease,,555,Regional enteritis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
ulcerative colitis,,556,Ulcerative colitis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
proctitis,,556,Ulcerative colitis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
enterocolitis,,556,Ulcerative colitis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
rectosigmoiditis,,556,Ulcerative colitis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
ulcerative proctitis,,556,Ulcerative colitis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
colitis,,558,Other and unspecified noninfectious gastroenteritis and colitis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
campylobacter fetus infection,,558,Other and unspecified noninfectious gastroenteritis and colitis,Noninfectious Enteritis And Colitis,Diseases Of The Digestive System
ileus,,560,Intestinal obstruction without mention of hernia,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
diverticulitis,,562,Diverticula of intestine,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
diverticulosis,,562,Diverticula of intestine,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
irritable bowel syndrome,,564,"Functional digestive disorders, not elsewhere classified",Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
constipation,,564,"Functional digestive disorders, not elsewhere classified",Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
intestine disease,,564,"Functional digestive disorders, not elsewhere classified",Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
functional bowel disorder,,564,"Functional digestive disorders, not elsewhere classified",Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
dumping syndrome,,564,"Functional digestive disorders, not elsewhere classified",Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
constipation predominant irritable bowel syndrome,,564,"Functional digestive disorders, not elsewhere classified",Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
diarrhea predominant irritable bowel syndrome,,564,"Functional digestive disorders, not elsewhere classified",Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
alternating stool pattern irritable bowel syndrome,,564,"Functional digestive disorders, not elsewhere classified",Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
anal fissure,,565,Anal fissure and fistula,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
fistula,,565,Anal fissure and fistula,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
anal fistula,,565,Anal fissure and fistula,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
perianal fistula,,566,Abscess of anal and rectal regions,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
peritonitis,,567,Peritonitis and retroperitoneal infections,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
abdominal cavity inflammation,,567,Peritonitis and retroperitoneal infections,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
abdominal abscess,,567,Peritonitis and retroperitoneal infections,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
peritoneal disease,,568,Other disorders of peritoneum,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
colon disease,,569,Other disorders of intestine,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
gastrointestinal inflammation,,569,Other disorders of intestine,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
anorectal disease,,569,Other disorders of intestine,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
anusitis,,569,Other disorders of intestine,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
protein losing enteropathy,,569,Other disorders of intestine,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
pouchitis,,569,Other disorders of intestine,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
anus pain,,569,Other disorders of intestine,Other Diseases Of Intestines And Peritoneum,Diseases Of The Digestive System
acute liver failure,,570,Acute and subacute necrosis of liver,Other Diseases Of Digestive System,Diseases Of The Digestive System
liver cirrhosis,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
liver disease,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
fatty liver disease,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
liver failure,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
alcoholic hepatitis,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
primary biliary cirrhosis,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
liver fibrosis,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
biliary cirrhosis,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
steatohepatitis,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
non-alcoholic steatohepatitis,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
autoimmune hepatitis,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
non alcoholic fatty liver disease,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
non segmental vitiligo,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
alcoholic fatty liver disease,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
alcoholic liver cirrhosis,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
compensated liver cirrhosis,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
alcoholic liver disease,,571,Chronic liver disease and cirrhosis,Other Diseases Of Digestive System,Diseases Of The Digestive System
hepatorenal syndrome,,572,Liver abscess and sequelae of chronic liver disease,Other Diseases Of Digestive System,Diseases Of The Digestive System
hepatic encephalopathy,,572,Liver abscess and sequelae of chronic liver disease,Other Diseases Of Digestive System,Diseases Of The Digestive System
liver abscess,,572,Liver abscess and sequelae of chronic liver disease,Other Diseases Of Digestive System,Diseases Of The Digestive System
amoebic liver abscess,,572,Liver abscess and sequelae of chronic liver disease,Other Diseases Of Digestive System,Diseases Of The Digestive System
portal hypertension,,572,Liver abscess and sequelae of chronic liver disease,Other Diseases Of Digestive System,Diseases Of The Digestive System
hepatitis,,573,Other disorders of liver,Other Diseases Of Digestive System,Diseases Of The Digestive System
hepatobiliary disease,,573,Other disorders of liver,Other Diseases Of Digestive System,Diseases Of The Digestive System
rna virus infection,,573,Other disorders of liver,Other Diseases Of Digestive System,Diseases Of The Digestive System
nausea drug-induced,,573,Other disorders of liver,Other Diseases Of Digestive System,Diseases Of The Digestive System
venous occlusive disease,,573,Other disorders of liver,Other Diseases Of Digestive System,Diseases Of The Digestive System
hepatic insufficiency,,573,Other disorders of liver,Other Diseases Of Digestive System,Diseases Of The Digestive System
